2019-10-05 05:15:43 INFO  logTranx:8 - Ejecutando : execution(void control.ComandoRetirar.ejecutar(Banco))
2019-10-05 05:15:49 INFO  logTranx:8 - Ejecutando : execution(Cuenta modelo.Banco.buscarCuenta(String))
2019-10-05 05:15:55 INFO  logTranx:8 - Ejecutando : execution(void modelo.Cuenta.retirar(long))
2019-10-05 05:15:55 INFO  logTranx:8 - Ejecutando : execution(String modelo.Cuenta.getNumero())
2019-10-05 05:15:55 INFO  ComandoRetirar:46 - Cuenta: 1,retiro: 600
2019-10-05 05:18:24 INFO  logTranx:8 - Ejecutando : execution(void modelo.Banco.agregarCuenta(Cuenta))
2019-10-05 05:18:24 INFO  logTranx:8 - Ejecutando : execution(String modelo.Cuenta.getNumero())
2019-10-05 05:18:24 INFO  logTranx:8 - Ejecutando : execution(void modelo.Banco.agregarCuenta(Cuenta))
2019-10-05 05:18:24 INFO  logTranx:8 - Ejecutando : execution(String modelo.Cuenta.getNumero())
2019-10-05 05:18:24 INFO  logTranx:8 - Ejecutando : execution(void modelo.Banco.agregarCuenta(Cuenta))
2019-10-05 05:18:24 INFO  logTranx:8 - Ejecutando : execution(String modelo.Cuenta.getNumero())
2019-10-05 05:18:24 INFO  logTranx:8 - Ejecutando : execution(List cajero.CajeroTipoA.cargaComandos())
2019-10-05 05:18:34 INFO  logTranx:8 - Ejecutando : execution(String control.ComandoListarCuentas.getNombre())
2019-10-05 05:18:34 INFO  logTranx:8 - Ejecutando : execution(String control.ComandoRetirar.getNombre())
2019-10-05 05:18:34 INFO  logTranx:8 - Ejecutando : execution(String control.ComandoConsignar.getNombre())
2019-10-05 05:18:34 INFO  logTranx:8 - Ejecutando : execution(String control.ComandoTransferir.getNombre())
2019-10-05 05:18:39 INFO  logTranx:8 - Ejecutando : execution(void control.ComandoRetirar.ejecutar(Banco))
2019-10-05 05:18:41 INFO  logTranx:8 - Ejecutando : execution(Cuenta modelo.Banco.buscarCuenta(String))
2019-10-05 05:18:44 INFO  logTranx:8 - Ejecutando : execution(void modelo.Cuenta.retirar(long))
2019-10-05 05:18:44 INFO  logTranx:8 - Ejecutando : execution(String modelo.Cuenta.getNumero())
2019-10-05 05:18:44 INFO  ComandoRetirar:46 - Cuenta: 1,retiro: 1333
2019-10-05 05:18:44 INFO  logTranx:8 - Ejecutando : execution(String control.ComandoListarCuentas.getNombre())
2019-10-05 05:18:44 INFO  logTranx:8 - Ejecutando : execution(String control.ComandoRetirar.getNombre())
2019-10-05 05:18:44 INFO  logTranx:8 - Ejecutando : execution(String control.ComandoConsignar.getNombre())
2019-10-05 05:18:44 INFO  logTranx:8 - Ejecutando : execution(String control.ComandoTransferir.getNombre())
2019-10-05 05:20:34 INFO  logTranx:8 - Ejecutando : execution(void AppCajero.main(String[]))
2019-10-05 05:20:34 INFO  logTranx:8 - Ejecutando : execution(void modelo.Banco.agregarCuenta(Cuenta))
2019-10-05 05:20:34 INFO  logTranx:8 - Ejecutando : execution(String modelo.Cuenta.getNumero())
2019-10-05 05:20:34 INFO  logTranx:8 - Ejecutando : execution(void modelo.Banco.agregarCuenta(Cuenta))
2019-10-05 05:20:34 INFO  logTranx:8 - Ejecutando : execution(String modelo.Cuenta.getNumero())
2019-10-05 05:20:34 INFO  logTranx:8 - Ejecutando : execution(void modelo.Banco.agregarCuenta(Cuenta))
2019-10-05 05:20:34 INFO  logTranx:8 - Ejecutando : execution(String modelo.Cuenta.getNumero())
2019-10-05 05:20:34 INFO  logTranx:8 - Ejecutando : execution(List cajero.CajeroTipoA.cargaComandos())
2019-10-05 05:20:44 INFO  logTranx:8 - Ejecutando : execution(String control.ComandoListarCuentas.getNombre())
2019-10-05 05:20:44 INFO  logTranx:8 - Ejecutando : execution(String control.ComandoRetirar.getNombre())
2019-10-05 05:20:44 INFO  logTranx:8 - Ejecutando : execution(String control.ComandoConsignar.getNombre())
2019-10-05 05:20:44 INFO  logTranx:8 - Ejecutando : execution(String control.ComandoTransferir.getNombre())
2019-10-05 05:20:49 INFO  logTranx:8 - Ejecutando : execution(void control.ComandoRetirar.ejecutar(Banco))
2019-10-05 05:20:51 INFO  logTranx:8 - Ejecutando : execution(Cuenta modelo.Banco.buscarCuenta(String))
2019-10-05 05:20:56 INFO  logTranx:8 - Ejecutando : execution(void modelo.Cuenta.retirar(long))
2019-10-05 05:20:56 INFO  logTranx:8 - Ejecutando : execution(String modelo.Cuenta.getNumero())
2019-10-05 05:20:56 INFO  ComandoRetirar:46 - Cuenta: 1,retiro: 100
2019-10-05 05:20:56 INFO  logTranx:8 - Ejecutando : execution(String control.ComandoListarCuentas.getNombre())
2019-10-05 05:20:56 INFO  logTranx:8 - Ejecutando : execution(String control.ComandoRetirar.getNombre())
2019-10-05 05:20:56 INFO  logTranx:8 - Ejecutando : execution(String control.ComandoConsignar.getNombre())
2019-10-05 05:20:56 INFO  logTranx:8 - Ejecutando : execution(String control.ComandoTransferir.getNombre())
2019-10-05 05:22:42 INFO  logTranx:8 - Ejecutando : execution(void AppCajero.main(String[]))
2019-10-05 05:22:42 INFO  logTranx:8 - Ejecutando : execution(void modelo.Banco.agregarCuenta(Cuenta))
2019-10-05 05:22:42 INFO  logTranx:8 - Ejecutando : execution(String modelo.Cuenta.getNumero())
2019-10-05 05:22:42 INFO  logTranx:8 - Ejecutando : execution(void modelo.Banco.agregarCuenta(Cuenta))
2019-10-05 05:22:42 INFO  logTranx:8 - Ejecutando : execution(String modelo.Cuenta.getNumero())
2019-10-05 05:22:42 INFO  logTranx:8 - Ejecutando : execution(void modelo.Banco.agregarCuenta(Cuenta))
2019-10-05 05:22:42 INFO  logTranx:8 - Ejecutando : execution(String modelo.Cuenta.getNumero())
2019-10-05 05:22:42 INFO  logTranx:8 - Ejecutando : execution(List cajero.CajeroTipoA.cargaComandos())
2019-10-05 05:22:51 INFO  logTranx:8 - Ejecutando : execution(String control.ComandoListarCuentas.getNombre())
2019-10-05 05:22:51 INFO  logTranx:8 - Ejecutando : execution(String control.ComandoRetirar.getNombre())
2019-10-05 05:22:51 INFO  logTranx:8 - Ejecutando : execution(String control.ComandoConsignar.getNombre())
2019-10-05 05:22:51 INFO  logTranx:8 - Ejecutando : execution(String control.ComandoTransferir.getNombre())
